ACCE_ABSORB_COST	Κόστος συνδυασμού: %d
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Δεν μπορείς να παραλάβεις κάποια ανταμοιβή.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	Υπάρχει ένα [5] κοντά.
MINI_GAME_CATCHKING_START_QUESTION	Για αυτόν τον γύρο θα σου αφαιρεθούν: %d Yang και %s: %d τεμάχια\nΘέλεις να παίξεις τώρα;
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Μπορεί να φυλακίσει τις εξής κάρτες: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Μπορεί να φυλακίσει τις εξής κάρτες: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Μπορεί να φυλακίσει τις εξής κάρτες: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Μπορεί να φυλακίσει τις εξής κάρτες: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Μπορεί να φυλακίσει τις εξής κάρτες: [1], [2], [3], [4], [5]\nΑν υπάρχει ένα άλλο [5] δίπλα στη γυρισμένη κάρτα σου,\n η σειρά σου τελειώνει και δεν αποκτάς πόντους.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Μπορεί να φυλακίσει τις εξής κάρτες: [Κ]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 και πάνω
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 ~ 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 ~ 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Αποκτάς 10 επιπλέον πόντους αν γυρίσεις με τη σειρά όλες τις κάρτες.
MINI_GAME_GIVEUP_QUESTION	Θέλεις πραγματικά να διακόψεις το παιχνίδι; Έτσι θα χάσεις την ανταμοιβή σου.
MINI_GAME_NOTICE_1	Κάνε κλικ στο «Ρίψη», για να βρεθεί ο παίκτης που θα αρχίσει.
MINI_GAME_NOTICE_2	Ρίψη ράβδων Γιουτ
MINI_GAME_NOTICE_3	Το σύστημα ρίχνει τις ράβδους Γιουτ, για να βρεθεί ο παίκτης που θα αρχίσει πρώτος.
MINI_GAME_NOTICE_4	Το σύστημα έφερε μικρότερη ή ίση ζαριά και μπορεί να ξεκινήσει.
MINI_GAME_NOTICE_5	Έφερες τη μικρότερη ζαριά και μπορείς να ξεκινήσεις.
MINI_GAME_NOTICE_6	Η ζαριά σου: %s. Προχώρα %d πεδία.
MINI_GAME_NOTICE_7	Η ζαριά σου: %s. Πρέπει να πας ένα πεδίο πίσω.
MINI_GAME_NOTICE_8	Ρίψη: %s
MINI_GAME_NOTICE_9	Είναι η σειρά του συστήματος.
MINI_GAME_NOTICE_10	Χα! Πέταξες έξω το πιόνι του συστήματος.
MINI_GAME_NOTICE_11	Τι ατυχία! Το σύστημα πέταξε έξω το πιόνι σου.
MINI_GAME_NOTICE_12	Έριξες Yut ή Mo και μπορείς να ρίξεις ξανά.
MINI_GAME_NOTICE_13	Το παιχνίδι τελείωσε. Παράλαβε την ανταμοιβή σου.
MINI_GAME_RUMI_DISCARD_QUESTION	Θέλεις πραγματικά να πετάξεις την κάρτα;
MINI_GAME_RUMI_EXIT_QUESTION	Θέλεις να κλείσεις τον γύρο παιχνιδιού σου και να πάρεις τα κέρδη σου;\nΟι πόντοι σου και οι υπόλοιπες κάρτες σου θα μηδενιστούν!
MINI_GAME_RUMI_START_QUESTION	Για να μπορέσεις να παίξεις, πρέπει να πληρώσεις %d Yang. Θα χρειαστείς και %d σετ καρτών.\nΘέλεις να ξεκινήσεις;
MINI_GAME_YUTNORI_COM_WIN	Μια κερδίζεις και μια κερδίζει κάποιος άλλος.
MINI_GAME_YUTNORI_PC_WIN	Νίκη ολέ!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Πόντοι: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	Ρίψη
MINI_GAME_YUTNORI_RETHROW_POPUP	Τυχεράκια! Είναι πάλι η σειρά σου.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Για να ξεκινήσεις το Γιουτνόρι, θα χρειαστείς %d Yang και %d επιτραπέζιο παιχνίδι Γιουτνόρι. \n Θέλεις να παίξεις τώρα;
MINUTE	Λεπ
MISTS_ISLAND_BUFF_MSG_01	Ενέργεια +2
MISTS_ISLAND_BUFF_MSG_02	Ποσοστό ρίψης αντικειμένων +10%
MISTS_ISLAND_BUFF_MSG_03	Δύναμη, Ευφυΐα, Ζωτικότητα, Ευκινησία +3
MISTS_ISLAND_BUFF_MSG_04	Ποσοστό ρίψης Yang +10%
MISTS_ISLAND_BUFF_MSG_05	Μπόνους φορεσιάς αυξημένο κατά 3%
MISTS_ISLAND_INFO_01	Το επίπεδό σου είναι υπερβολικά χαμηλό.
MISTS_ISLAND_INFO_02	Ανεπαρκή Yang.
MISTS_ISLAND_INFO_03	Αυτήν τη στιγμή δεν γίνεται μάχη.
MISTS_ISLAND_MSG_01	Το %s καταστράφηκε από %s!
MISTS_ISLAND_MSG_02	Ο %s κατέκτησε το %s!
MISTS_ISLAND_MSG_03	Ο %s κατέλαβε το %s!
MISTS_ISLAND_MSG_04	Ο %s επιτίθεται σε %s!
MISTS_ISLAND_MSG_05	Ο %s ενίσχυσε το %s στο επίπεδο %d!
MISTS_ISLAND_MSG_06	Ο %s εμφανίστηκε στο πεδίο μάχης!
MISTS_ISLAND_QUESTION_01	Θέλεις να εγκαταλείψεις τη Μάχη των πέντε Βωμών;
MISTS_ISLAND_QUESTION_02	Θέλεις να τηλεμεταφερθείς στον Βωμό που δέχτηκε επίθεση πρόσφατα; \n Κόστος: %s Yang
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	Βασίλειο-Κατακτητής: %s
MISTS_ISLAND_TOOLTIP_03	Επίπεδο Βελτίωσης: +%d
MISTS_ISLAND_TOOLTIP_04	Buff Κατάκτησης: %s
MISTS_ISLAND_TOOLTIP_05	Κατάκτηση των Βωμών
MISTS_ISLAND_TOOLTIP_06	1. Για να κατακτήσεις έναν Βωμό, πρέπει πρώτα να καταστραφεί.
MISTS_ISLAND_TOOLTIP_07	2. Το βασίλειο που θα έχει τους περισσότερους πολεμιστές στην περιοχή μετά από 1 λεπτό, κατακτά το βωμό.
MISTS_ISLAND_TOOLTIP_08	3. Μετά από 3 λεπτά ο Βωμός εμφανίζεται στο χρώμα του Βασιλείου που τον κατέκτησε.
MISTS_ISLAND_TOOLTIP_09	4. Όσο περισσότερο βρίσκεται ο Βωμός υπό τον έλεγχο του ίδιου Βασιλείου, τόσο πιο δύσκολα μπορεί να καταστραφεί.
MONETARY_UNIT0	Yang
MONETARY_UNIT1	Δέκα Χιλιάδες
MONETARY_UNIT2	Εκατό Εκατομμύρια
MONEY_INPUT_DIALOG_SELLPRICE	Τιμή Πώλησης:
MOUNT_UPGRADE_SYSTEM_BANN_WHILE_MOUNTING	Δεν μπορείς να το κάνεις αυτό σε ζώο ιππασίας.
MOUNT_UPGRADE_SYSTEM_CONQUEROR_LEVEL_MSG	Μπορείς να αυξήσεις το επίπεδο του αλόγου σου, μόλις έχεις επίπεδο πρωταθλητή.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_COST	Χρειάζεσαι %d Τροφή αλόγων und %d Yang.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_MSG_LEVEL	Θέλεις να δοκιμάσεις να αυξήσεις το επίπεδο του αλόγου σου σε %d;
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_RETRY_COST	Για να αυξήσεις το επίπεδο του αλόγου σου, θα χρειαστείς %d Τροφή αλόγων, %d Gaya και %d Yang.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_GEM_NOT_ENOUGH	Δεν έχεις αρκετά Gaya.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_FAIL	Η αύξηση του Επιπέδου αλόγου απέτυχε.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_SUCCESS	Το επίπεδο αλόγου αυξήθηκε σε %d.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_YANG_OR_FEED_NOT_ENOUGH	Δεν έχεις αρκετά Yang ή Τροφή αλόγων.
MOUNT_UPGRADE_TOOLTIP_SKILL_NEXT_LEVEL	Επόμενο επίπεδο: %d (το πολύ %d)
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Ακύρωση
MOVE_CHANNEL_NOTICE	Έχεις συνδεθεί στο κανάλι %d.
MOVE_CHANNEL_NOT_MOVE	Δεν μπορείς να αλλάξεις το κανάλι σου.
MOVE_CHANNEL_SELECT	ΟΚ
MOVE_CHANNEL_TITLE	Επιλογή καναλιού
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Δεν μπορείς να μετακινήσεις αντικείμενα όσο είναι ανοιχτό το ιδιωτικό κατάστημα.
MUSIC_EMPTY_MUSIC_LIST	Δεν υπάρχει μουσική περιβάλλοντος.
MUSIC_METIN2_DEFAULT_THEMA	Συνήθης μουσική Metin2
MUSIC_NOT_SELECT_MUSIC	Δεν επιλέχθηκε αρχείο μουσικής.
NEEFD_REST	Πρέπει να ξεκουραστείς πρώτα.
NOT_YET_SUPPORT	Δεν υποστηρίζεται.
OPEN_THE_SPECIAL_ACTION_KIT	Το %s προστέθηκε στα συναισθήματα.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Δεν μπορείς να ενεργοποιήσεις Mode Συντεχνίας όταν δεν ανήκεις σε Συντεχνία.
OPTION_PVPMODE_NOT_SUPPORT	Δεν μπορείς να επιλέξεις αυτή τη ρύθμιση στο PvP.
OPTION_PVPMODE_PROTECT	Πρέπει να έχεις φτάσει στο επίπεδο %d για να αλλάξεις την εφαρμογή PvP.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	Θέλεις να βγεις από τη μάχη;
OTHER_WORLD_EXCHANGE_COOLTIME	Παρακαλούμε δοκίμασε ξανά αργότερα.
OTHER_WORLD_EXCHANGE_FAIL	Δυστυχώς δεν έλαβες τίποτα από την ανταλλαγή.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	Δεν μπορείς να χρησιμοποιήσεις περισσότερα από τον μέγιστο αριθμό αντικειμένων.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	Ανταλλαγή Νεκροφλογών
OTHER_WORLD_GET_DEAD_SOUL	Απέκτησες %d x Ψυχή Θανάτου.
OTHER_WORLD_GET_HELL_GATE_KEY	Απέκτησες %d x Κλειδί Ασμόδεου.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	Απέκτησες %d x Μαύρη Επιστολή.
OTHER_WORLD_GET_REINCARNATION_WATER	Απέκτησες %d x Ευλογία Ζωής.
OTHER_WORLD_GET_WISP	Απέκτησες %d x Νεκροφλόγες.
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	Επίλεξε τον ’γγελο της Γης που θέλεις να αντιμετωπίσεις.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	Όταν πεθαίνει ένας χαρακτήρας, το χρονόμετρο του μπουντρουμιού μειώνεται κατά 1 λεπτό.
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	Το Νερό της Ζωής δεν είναι διαθέσιμο.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	Σκότωσε όλα τα τέρατα στον προκαθορισμένο χρόνο.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	Νίκησε τον ’γγελο της Νύχτας χωρίς να πεθάνεις.
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	Νίκησε τον Ασμόδεο πριν λήξει ο χρόνος.
PARTY_ANSWER_TIMEOVER	Η πρόσκληση απορρίφθηκε.
PARTY_BONUS_ATTACKER	Αξία Επίθεσης: +%d	SA
PARTY_BONUS_BERSERKER	Ταχύτητα Επίθεσης: +%d	SA
PARTY_BONUS_BUFFER	Διάρκεια Ικανοτήτων: +%d	SA
PARTY_BONUS_DEFENDER	’μυνα +%d%%	SA
PARTY_BONUS_EXP	Μπόνους ΕΜΠ: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Επαναφορά HP ανά kill +%d%%	SA
PARTY_BONUS_TANKER	Μεγ. HP: +%d	SA
PARTY_BREAK_UP	Διάλυση Ομάδας
PARTY_DO_YOU_ACCEPT	: Θέλει να γίνει μέλος της ομάδας.
PARTY_DO_YOU_JOIN	Ο   σε κάλεσε σε μια ομάδα. Αποδέχεσαι;
PARTY_EXP_DISTRIBUTION_MODE	Κατανομή ΕΜΠ
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Εξαρτ. από επίπεδο
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Τα μέλη της ομάδας με μεγαλύτερο επίπεδο αποκτούν περισσότερη εμπειρία.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Ομοιόμορφα
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Όλα τα μέλη της ομάδας κερδίζουν την ίδια ΕΜΠ.
PARTY_HEAL_ALL_MEMBER	Αποκατάσταση όλων
PARTY_INCREASE_AREA_150	Η ακτίνας ομάδας αναβαθμίστηκε κατά παράγοντα 1,5.	SNA
PARTY_INCREASE_AREA_200	Η ακτίνας ομάδας αναβαθμίστηκε κατά παράγοντα 2.	SNA
PARTY_LEAVE	Έξοδος από ομάδα
PARTY_LONGTIME_BONUS_EXP	Bonus ΕΜΠ για μεγάλο παιχν. ομάδας: +%d%%	SA
PARTY_MATCH_CANCEL	Η αναζήτηση ομάδας για [%s] ακυρώθηκε.
PARTY_MATCH_FAIL_FULL_MEMBER	Η ομάδα δεν μπορεί να αποκτήσει άλλο μέλος.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Δεν μπορείς να εγγραφείς σε αυτό το μπουντρούμι.
PARTY_MATCH_FAIL_LEVEL	Το επίπεδό σου είναι υπερβολικά χαμηλό.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Το μέλος %s δεν πληροί τις απαραίτητες προϋποθέσεις.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Επίλεξε πρώτα ένα μπουντρούμι.
PARTY_MATCH_FAIL_NOT_LEADER	Μόνο ο αρχηγός της ομάδας μπορεί να πραγματοποιήσει την εγγραφή.
PARTY_MATCH_FAIL_NO_ITEM	Δεν έχεις αρκετά %s.
PARTY_MATCH_SEARCHING	Αναζήτηση
PARTY_MATCH_START	Έχεις εγγράψει την ομάδα σου στο ακόλουθο μπουντρούμι: [%s]!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Κλήση μέλους ομάδας
PARTY_REGEN_BONUS	Μπόνους αναγέννησης HP + SP: +%d%%	SA
PARTY_REQUEST_DENIED	Η αίτηση σου απορρίφθηκε.
PARTY_RK_CATEGORY_CZ_CHICKEN	Λίστα κατάταξης φύλακα Γιου
PARTY_RK_CATEGORY_CZ_COW	Λίστα κατάταξης φύλακα Τσου
PARTY_RK_CATEGORY_CZ_DOG	Λίστα κατάταξης φύλακα Ξιου
PARTY_RK_CATEGORY_CZ_DRAGON	Λίστα κατάταξης φύλακα Τσεν
PARTY_RK_CATEGORY_CZ_HORSE	Λίστα κατάταξης φύλακα Γου
PARTY_RK_CATEGORY_CZ_MONKEY	Λίστα κατάταξης φύλακα Σεν
PARTY_RK_CATEGORY_CZ_MOUSE	Λίστα κατάταξης φύλακα Ζι
PARTY_RK_CATEGORY_CZ_PIG	Λίστα κατάταξης φύλακα Χάι
PARTY_RK_CATEGORY_CZ_RABBIT	Λίστα κατάταξης φύλακα Μάο
PARTY_RK_CATEGORY_CZ_SHEEP	Λίστα κατάταξης φύλακα Γουέι
PARTY_RK_CATEGORY_CZ_SNAKE	Λίστα κατάταξης φύλακα Σι
PARTY_RK_CATEGORY_CZ_TIGER	Λίστα κατάταξης φύλακα Γιν
PARTY_SET_ATTACKER	Ορισμός ως Επιτιθέμενος
PARTY_SET_BERSERKER	Ορισμός ως Μπερζέρκερ
PARTY_SET_BUFFER	Ορισμός ως Απόκρουση
PARTY_SET_DEFENDER	Ορισμός ως Αμυνόμενος
PARTY_SET_NORMAL	Ανάκληση ρύθμισης
PARTY_SET_SKILL_MASTER	Επιλογή ώς βασικής ικανότητας.
PARTY_SET_TANKER	Σύνταξη μαχητή Σώμα με Σώμα
PARTY_SKILL_ATTACKER	Βασική επίθεση επιτιθέμενου +%.0f
PARTY_SKILL_BERSERKER	Ταχύτητα επίθεσης Μπερζέρκερ +%.0f
PARTY_SKILL_BUFFER	Διάρκεια Ικανότητας Μπλοκ +%.0f
PARTY_SKILL_DEFENDER	’μυνα αμυνόμενου +%.0f%%
PARTY_SKILL_HP_REGEN	Αναπλήρωση HP +%.0f%%
PARTY_SKILL_PARTY_AREA	Ακτίνα Ομάδας +%d%%
PARTY_SKILL_SKILL_MASTER	Επιστροφή HP ως Master ικανοτήτων +%.0f%%
PARTY_SKILL_SP_REGEN	Αναπλήρωση SP +%.0f%%
PARTY_SKILL_TANKER	Mεγ. HP Μαχητή Σώμα με Σώμα +%.0f
PARTY_SKILL_WARP	Μπορείς να καλέσεις μέλη ομάδας.
PASSIVE_ATTR_ADD_FAIL	Αποτυχία! Τα μπόνους δεν μεταφέρθηκαν στο Κειμήλιο Ψυχών.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	Το Κειμήλιο Ψυχών δεν μπορεί να απορροφήσει άλλα μπόνους.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	Θα χρειαστείς ένα Κειμήλιο Ψυχών για την κλάση σου.
PASSIVE_ATTR_ADD_SUCCESS	Επιτυχία! Τα μπόνους μεταφέρθηκαν στο Κειμήλιο Ψυχών.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	Το Κειμήλιο Ψυχών σου έχει φορτωθεί ήδη.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	Δεν χρειάζεται να φορτωθεί κάποιο Κειμήλιο Ψυχών.
PASSIVE_ATTR_CHARGE_QUESTION	Θέλεις να φορτώσεις το Κειμήλιο Ψυχών;
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	Ο χρόνος Κειμηλίου φορτώθηκε πλήρως.
PASSIVE_ATTR_CONTROL_FAIL_MSG	Δεν μπορείς να το κάνεις αυτό κατά την ενεργοποίηση.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	Παρακαλούμε δοκίμασε ξανά αργότερα.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	Θα χρειαστείς μια ψυχή που ταιριάζει.
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	Θα χρειαστείς ένα Κειμήλιο Ψυχών για την κλάση σου.
PASSIVE_JOB_DESTROY_POPUP	Αν βγάλεις το Κειμήλιο Ψυχών, θα καταστραφεί. Είσαι σίγουρος;
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	Δεν μπορείς να δώσεις αλλού το Κειμήλιο μετά την ενεργοποίηση.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	Τα αντικείμενα θα χαθούν. Είσαι σίγουρος;
PASSIVE_JOB_LEFT_TIME	Υπόλοιπος χρόνος: %s
PASSIVE_JOB_MAX_TIME	Μέγιστος χρόνος κειμηλίου: %s
PASSWORD_TITLE	Κωδικός αποθήκης
PET_ATTR_CHANGE_DIALOG_TEXT	Θέλεις να αλλάξεις τώρα τα χαρακτηριστικά του κατοικιδίου σου;\n Θα καταναλωθεί το αντικείμενο «Μάγεμα κατοικιδίου».\n Η διαδικασία μπορεί να αποτύχει.
PET_ATTR_CHANGE_USE	Όσο αλλάζουν τα χαρακτηριστικά του κατοικιδίου σου, δεν μπορεί να γίνει αυτή η ενέργεια.
PET_ATTR_DETERMINE_TYPE1	Είδος κατοικιδίου 1: Αδέξιο Δεν είναι πολύ δυνατό, αλλά με τον καιρό μπορείς να αυξήσεις τις ικανότητές του.
PET_ATTR_DETERMINE_TYPE2	Είδος κατοικιδίου 2: Περίεργο Δεν είναι πολύ δυνατό. Πιστός σύντροφος, του οποίου οι ικανότητες αυξάνονται με τον καιρό.
PET_ATTR_DETERMINE_TYPE3	Είδος κατοικιδίου 3: Ατρόμητο Έχει μέτρια δύναμη, αλλά με τον καιρό μπορείς να αυξήσεις τις ικανότητές του.
PET_ATTR_DETERMINE_TYPE4	Είδος κατοικιδίου 4: Θαρραλέο Έχει μέτρια δύναμη. Πιστός σύντροφος, του οποίου οι ικανότητες αυξάνονται με τον καιρό.
PET_ATTR_DETERMINE_TYPE5	Είδος κατοικιδίου 5: Παράτολμο Δυνατό. Με τον καιρό μπορείς να αυξήσεις τις ικανότητές του.
PET_ATTR_DETERMINE_TYPE6	Είδος κατοικιδίου 6: Θρυλικό Δυνατό. Πιστός σύντροφος, του οποίου οι ικανότητες αυξάνονται με τον καιρό.
PET_ATTR_DETERMINE_TYPE7	Είδος κατοικιδίου 7: Μυθικό Πολύ δυνατό. Θα φτάσει στις πλήρεις δυνάμεις του με τον καιρό.
PET_ATTR_DETERMINE_TYPE8	Είδος κατοικιδίου 8: Πρισματικό Πάρα πολύ δυνατό. Μπορείς να βασιστείς σε αυτόν τον σύντροφο.
PET_BAG_DESC	%s
PET_CANNOT_FEED_CUBEOPEN	Δεν μπορείς να ταΐσεις το κατοικίδιό σου, όσο είναι ανοιχτό το παράθυρο εξευγενισμού.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Δεν μπορείς να αλλάξεις τα χαρακτηριστικά ενός νεκρού κατοικιδίου.
PET_CAN_NOT_EGG_ITEM_USE	Δεν μπορείς να ανοίξεις το Κουτί Επώασης όσο κάνεις εμπόριο ή έχεις ανοιχτό το ιδιωτικό σου κατάστημα ή την αποθήκη σου.
PET_CAN_NOT_FEED_SPLIT_ITEM	Δεν μπορείς να τοποθετήσεις ένα χωρισμένο αντικείμενο σε αυτό το παράθυρο.
PET_CAN_NOT_FEED_TYPE	Δεν μπορείς να ταΐσεις το κατοικίδιό σου με αυτόν τον τρόπο. Παρακαλούμε δοκίμασε κάτι άλλο.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Για να εκπαιδεύσεις το κατοικίδιό σου στο επόμενο επίπεδο, πρέπει να βρίσκεται στο επίπεδο %d.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Για να εκπαιδεύσεις το κατοικίδιο στο επόμενο επίπεδο, πρέπει να έχει 100% εμπειρία.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Το κατοικίδιό σου έχει ήδη φτάσει στο ανώτατο επίπεδο.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Δεν μπορείς να ανοίξεις ιδιωτικό κατάστημα όσο κάνεις εμπορικές συναλλαγές με άλλους.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Για να εκπαιδεύσεις το κατοικίδιο στο επόμενο επίπεδο, πρέπει να είναι τουλάχιστον %d ημερών.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Δεν μπορείς να καλέσεις το κατοικίδιό σου, επειδή έχει λήξει ο χρόνος.
PET_CAN_NOT_USE_BAG	Δεν μπορείς να χρησιμοποιήσεις το μεταφορικό κουτί, επειδή το κατοικίδιό σου έχει λήξει.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Το κατοικίδιο δεν διαθέτει ικανότητες που να επιδέχονται επαναφορά.
PET_HATCHING_ACCEPT	Θέλεις να δοκιμάσεις το κατοικίδιό σου «%s»;
PET_HATCHING_MONEY	Τιμή: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Αν είναι ανοιχτό το Κουτί Επώασης, δεν μπορείς να αλληλεπιδράσεις.
PET_INFORMATION_STAGE1	Νέο
PET_INFORMATION_STAGE2	’γριο
PET_INFORMATION_STAGE3	Γενναίο
PET_INFORMATION_STAGE4	Ηρωικό
PET_INFO_EXP	Τρέχουσα εμπειρία:
PET_INFO_ITEM_EXP	Παρούσα ΕΜΠ αντικ.
PET_INFO_NEXT_EXP	Υπολειπόμενη εμπειρία:
PET_INFO_NEXT_ITEM_EXP	Υπόλοιπη ΕΜΠ αντικ.
PET_MSG_NOT_ENOUGH_MONEY	Δεν έχεις αρκετό Yang.
PET_NAME_CHANGE_ACCEPT	Θέλεις να αλλάξεις το όνομα του κατοικιδίου σου σε «%s»;
PET_NAME_MIN	Το όνομα είναι πολύ μικρό.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	Δεν υπάρχει κατοικίδιο για ανάνηψη.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	Δεν έχεις αρκετό υλικό.
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG	Οι ικανότητες είναι πλέον διαθέσιμες.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	Η επαναφορά των ικανοτήτων του κατοικίδιού σου είναι οριστική.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Θέλεις να συνεχίσεις;
PET_SKILL_LEARN_FAIL_CONDITIONS	Ο κατοικίδιο δεν είναι αρκετά μεγάλο ή δεν έχει το απαιτούμενο επίπεδο. Μόνο τα Ηρωικά κατοικίδια μπορούν να μάθουν ικανότητες.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Θέλεις να ξεκινήσεις την Εκπαίδευση Ήρωα με το «%s»;
PET_SKILL_TOOLTIP_COOLTIME	Χρόνος ηρεμίας: %d δευτ.
PET_SKILL_TOOLTIP_DURATION	Διάρκεια: %d δευτ.
PET_SKILL_TOOLTIP_FEATHER	Το κατοικίδιο ενεργοποιεί με μια πιθανότητα %d%% το Βάδισμα Φτερού για %.1f δευτερόλεπτα.\n Επίθεση %d -%d	SAAAA
PET_SKILL_TOOLTIP_HEAL	Αν οι HP σου πέσουν κάτω από το 20%%, έχεις μια πιθανότητα \n %d%% να αυξηθούν οι HP κατά %d.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Ο χαρακτήρας σου γίνεται αήττητος με πιθανότητα %d%%,\n όταν οι SP σου μειωθούν κάτω από το 10%%.\n Διάρκεια επίδρασης: %.1f δευτερόλεπτα	SAA
PET_SKILL_TOOLTIP_REMOVAL	Απομακρύνει αμέσως όλες τις επιδράσεις δηλητηρίου, επιβράδυνσης \n ή αιμορραγίας με πιθανότητα %d%%\n, αν ο χαρακτήρας σου είναι επηρεασμένος.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Εκπαίδευση Ήρωα στο επόμενο επίπεδο;
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Κόστος: %s
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	’μυνα
PET_TOOLTIP_HP	HP
PET_TOOLTIP_LEVEL	Επίπεδο
PET_TOOLTIP_LIFETIME_OVER	Έληξε
PET_TOOLTIP_SKILL_BONUS_VALUE	στην Εκπαίδευση Ήρωα
PET_TOOLTIP_SKILL_CUR_LEVEL	Επίπεδο: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Επόμενο επίπεδο: %d (μέγ. %d)
PET_TOOLTIP_SP	SP
PET_TOOLTIP_TRADABLE	Εμπορεύσιμο
PET_TOOLTUP_SKILL	%s (Επίπεδο %d)
PICK_ITEM_TITLE	Αρ. Αντικειμένου
PICK_MONEY_TITLE	Ποσό
