ACCE_ABSORB_COST	Coûts de combi : %d
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	Le roi s'est échappé ! Le jeu est maintenant terminé. \nVous pouvez valider votre gain si vous avez marqué au moins 10 points.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Vous ne pouvez pas valider de gain.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	Un [5] se trouve à proximité.
MINI_GAME_CATCHKING_START_QUESTION	Jouer cette partie vous coûtera : %d Yangs ainsi que %s : %d unités.\nVoulez-vous jouer ?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Elle peut capturer les cartes suivantes : [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Elle peut capturer les cartes suivantes : [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Elle peut capturer les cartes suivantes : [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Elle peut capturer les cartes suivantes : [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Elle peut capturer les cartes suivantes : [1], [2], [3], [4], [5]\nSi un autre [5] jouxte votre carte dévoilée,\n le tour de jeu est terminé et vous ne recevez aucun point.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Elle peut capturer les cartes suivantes : [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s : 550 ou plus
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s : 400 à 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s : 10 à 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Dévoilez toutes les cartes d'une série pour recevoir 10 points bonus.
MINI_GAME_GIVEUP_QUESTION	Souhaitez-vous vraiment quitter le jeu ? Si tel est le cas, vous renoncez à la récompense.
MINI_GAME_NOTICE_1	Cliquez sur « Lancer » pour déterminer le joueur qui commence.
MINI_GAME_NOTICE_2	Lancer les bâtons de Yutnori.
MINI_GAME_NOTICE_3	L'ordinateur lance les bâtons de Yutnori pour déterminer le joueur qui commence.
MINI_GAME_NOTICE_4	L'ordinateur a le score le plus faible ou le même que vous : il commence.
MINI_GAME_NOTICE_5	Vous avez le score le plus faible : vous commencez.
MINI_GAME_NOTICE_6	Votre lancer : %s. Avancez de %d cases.
MINI_GAME_NOTICE_7	Votre lancer : %s. Vous reculez d'1 case.
MINI_GAME_NOTICE_8	Lancer : %s
MINI_GAME_NOTICE_9	C'est au tour de l'ordinateur.
MINI_GAME_NOTICE_10	Ha ! Vous avez fait sortir l'ordinateur.
MINI_GAME_NOTICE_11	Pas de veine ! L'ordinateur vous a fait sortir.
MINI_GAME_NOTICE_12	Vous avez obtenu Yut ou Mo avant ; vous pouvez donc rejouer.
MINI_GAME_NOTICE_13	Le jeu est terminé. Allez chercher votre récompense.
MINI_GAME_RUMI_DISCARD_QUESTION	Voulez-vous vraiment vous défausser de cette carte ?
MINI_GAME_RUMI_EXIT_QUESTION	Souhaitez-vous terminer la partie et obtenir votre récompense ?\nVos points et le reste de vos cartes seront alors réinitialisés !
MINI_GAME_RUMI_START_QUESTION	Vous devez vous acquitter d'une taxe de %d Yangs pour pouvoir jouer. Il vous faut également %d Set(s) de cartes.\nVoulez-vous lancer le jeu ?
MINI_GAME_YUTNORI_COM_WIN	Il arrive que l'on perde, et parfois, les autres gagnent.
MINI_GAME_YUTNORI_PC_WIN	Voilà à quoi ressemble un champion, youpi !
MINI_GAME_YUTNORI_PC_WIN_SCORE	Nombre de points : %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	Lancer
MINI_GAME_YUTNORI_RETHROW_POPUP	Quelle veine ! C'est encore à vous.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Pour commencer une partie de Yutnori, il vous faut %d Yangs et %d plateaux de jeu de Yutnori. \n Jouer maintenant ?
MINUTE	m
MISTS_ISLAND_BUFF_MSG_01	Énergie +2
MISTS_ISLAND_BUFF_MSG_02	Taux de butin d'objet +10 %
MISTS_ISLAND_BUFF_MSG_03	Force, intelligence, vitalité, dextérité +3
MISTS_ISLAND_BUFF_MSG_04	Taux de butin de Yangs +10 %
MISTS_ISLAND_BUFF_MSG_05	Les bonus de costume augmentent de 3 %.
MISTS_ISLAND_INFO_01	Votre niveau est trop bas.
MISTS_ISLAND_INFO_02	Pas assez de Yangs.
MISTS_ISLAND_INFO_03	Aucune bataille n'est en cours.
MISTS_ISLAND_MSG_01	%s a été détruit par %s !
MISTS_ISLAND_MSG_02	%s a conquis %s !
MISTS_ISLAND_MSG_03	%s occupe %s !
MISTS_ISLAND_MSG_04	%s attaque %s !
MISTS_ISLAND_MSG_05	%s a renforcé %s au niveau %d.
MISTS_ISLAND_MSG_06	%s est apparu sur le champ de bataille !
MISTS_ISLAND_QUESTION_01	Voulez-vous quitter la Bataille des cinq sanctuaires ?
MISTS_ISLAND_QUESTION_02	Voulez-vous être téléporté au sanctuaire attaqué dernièrement ? \n Coût : %s Yangs
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	Empire occupant : %s
MISTS_ISLAND_TOOLTIP_03	Niveau d'amélioration : +%d
MISTS_ISLAND_TOOLTIP_04	Bonus d'occupation : %s
MISTS_ISLAND_TOOLTIP_05	Conquêtes des sanctuaires
MISTS_ISLAND_TOOLTIP_06	1. Pour conquérir un sanctuaire, il doit d'abord être détruit.
MISTS_ISLAND_TOOLTIP_07	2. L'empire qui a le plus de guerriers autour du sanctuaire pendant 1 minute, le gagne.
MISTS_ISLAND_TOOLTIP_08	3. Après 3 minutes, le sanctuaire prend la couleur de l'empire qui l'a conquis.
MISTS_ISLAND_TOOLTIP_09	4. Plus le sanctuaire reste sous le contrôle du même empire, plus il est difficile à détruire.
MONETARY_UNIT0	Yang
MONETARY_UNIT1	Dix mille
MONETARY_UNIT2	Cent million
MONEY_INPUT_DIALOG_SELLPRICE	Prix de vente :
MOUNT_UPGRADE_SYSTEM_BANN_WHILE_MOUNTING	Vous ne pouvez pas le faire sur le dos de votre monture.
MOUNT_UPGRADE_SYSTEM_CONQUEROR_LEVEL_MSG	Vous pouvez augmenter le niveau de la monture dès que vous atteignez le niveau de champion.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_COST	Il vous faut de l'avoine (%d) et %d Yangs.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_MSG_LEVEL	Voulez-vous essayer de faire passer à %d le niveau de votre cheval ?
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_RETRY_COST	Pour augmenter le niveau de votre cheval, il vous faut de l'avoine (%d) %d Gayas et %d Yangs.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_GEM_NOT_ENOUGH	Vous n'avez pas assez de Gayas.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_FAIL	La tentative d'augmentation du niveau du cheval a échoué.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_SUCCESS	Le niveau du cheval est passé à %d.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_YANG_OR_FEED_NOT_ENOUGH	Vous n'avez pas assez d'avoine ou de Yangs !
MOUNT_UPGRADE_TOOLTIP_SKILL_NEXT_LEVEL	Niveau suivant : %d (%d maximum)
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Annuler
MOVE_CHANNEL_NOTICE	Vous êtes connecté au canal %d.
MOVE_CHANNEL_NOT_MOVE	Vous ne pouvez pas changer de canal.
MOVE_CHANNEL_SELECT	OK
MOVE_CHANNEL_TITLE	Sélection de canal
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Vous ne pouvez pas déplacer d'objet lorsque votre magasin privé est ouvert.
MUSIC_EMPTY_MUSIC_LIST	Pas de musique de fond.
MUSIC_METIN2_DEFAULT_THEMA	Musique standard Metin2
MUSIC_NOT_SELECT_MUSIC	Pas de fichier musique choisi.
NEEFD_REST	Vous devez d'abord vous détendre.
NOT_YET_SUPPORT	N'est pas soutenu.
OPEN_THE_SPECIAL_ACTION_KIT	%s a été chargé en émotions.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Vous ne pouvez pas activer le Mode guilde lorsque vous n'appartenez à aucune guilde.
OPTION_PVPMODE_NOT_SUPPORT	Vous ne pouvez pas choisir cette configuration en Mode PvP.
OPTION_PVPMODE_PROTECT	Vous devez être au moins de niveau %d pour utiliser le Mode PvP.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	Voulez-vous quitter le combat ?
OTHER_WORLD_EXCHANGE_COOLTIME	Réessayez plus tard.
OTHER_WORLD_EXCHANGE_FAIL	Vous n'avez malheureusement rien reçu en échange.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	Vous ne pouvez pas dépasser le nombre maximum d'objets utilisables.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	Échanger des flammes funestes
OTHER_WORLD_GET_DEAD_SOUL	Vous avez reçu %dx âme de défunt.
OTHER_WORLD_GET_HELL_GATE_KEY	Vous avez reçu %dx clé d'Asmodeus.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	Vous avez reçu %dx missive noire.
OTHER_WORLD_GET_REINCARNATION_WATER	Vous avez reçu %d x eau de la vie.
OTHER_WORLD_GET_WISP	Vous avez reçu %dx flamme funeste.
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	Choisissez le messager de la Terre que vous souhaitez défier.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	Chaque fois qu'un personnage est éliminé, le temps du minuteur de donjon est réduit de 1 minute.
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	Eau de la vie non disponible.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	Éliminez tous les monstres dans le temps imparti.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	Triomphez du messager de la Nuit sans mourir.
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	Triomphez d'Asmodeus dans le temps imparti.
PARTY_ANSWER_TIMEOVER	L'invitation a été déclinée.
PARTY_BONUS_ATTACKER	Valeur d'attaque : +%d	SA
PARTY_BONUS_BERSERKER	Vitesse d'attaque : +%d	SA
PARTY_BONUS_BUFFER	Durée compétence : +%d	SA
PARTY_BONUS_DEFENDER	Défense +%d %%	SA
PARTY_BONUS_EXP	Bonus EXP : %d%%	SA
PARTY_BONUS_SKILL_MASTER	Restauration de PV par victime +%d %%	SA
PARTY_BONUS_TANKER	PV max. : +%d	SA
PARTY_BREAK_UP	Supprimer le Groupe
PARTY_DO_YOU_ACCEPT	 aimerait rejoindre le groupe.
PARTY_DO_YOU_JOIN	  vous a invité à rejoindre un groupe. Accepter ?
PARTY_EXP_DISTRIBUTION_MODE	Distribution par EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Selon niveau
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Les membres de plus haut niveau reçoivent plus d'EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Distribution égale
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Tous les membres du Groupe reçoivent autant d'EXP.
PARTY_HEAL_ALL_MEMBER	Restaure tout.
PARTY_INCREASE_AREA_150	L'écart le plus grand dans le Groupe atteint un facteur de 1,5.	SNA
PARTY_INCREASE_AREA_200	L'écart le plus grand dans le Groupe atteint un facteur de 2.	SNA
PARTY_LEAVE	Quitter le Groupe
PARTY_LONGTIME_BONUS_EXP	Bonus EXP pour un temps de jeu en groupe important : +%d%%	SA
PARTY_MATCH_CANCEL	La recherche de groupe pour %s a été interrompue.
PARTY_MATCH_FAIL_FULL_MEMBER	Votre groupe ne peut plus accueillir de nouveaux membres.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Vous ne pouvez pas vous inscrire à ce donjon.
PARTY_MATCH_FAIL_LEVEL	Votre niveau est trop bas.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Le membre %s ne satisfait pas aux conditions requises.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Sélectionnez d'abord un donjon.
PARTY_MATCH_FAIL_NOT_LEADER	Seul le chef du groupe peut effectuer l'inscription.
PARTY_MATCH_FAIL_NO_ITEM	Vous n'avez pas suffisamment de %s.
PARTY_MATCH_SEARCHING	Chercher
PARTY_MATCH_START	Vous avez inscrit votre groupe au donjon suivant : %s !
PARTY_MEMBER_OFFLINE	[Déconnecté]
PARTY_RECALL_MEMBER	Appeler un Membre du Groupe
PARTY_REGEN_BONUS	Bonus de régénération PV + PM : +%d%%	SA
PARTY_REQUEST_DENIED	Votre demande a été rejetée.
PARTY_RK_CATEGORY_CZ_CHICKEN	Classement du gardien Yu
PARTY_RK_CATEGORY_CZ_COW	Classement du gardien Chou
PARTY_RK_CATEGORY_CZ_DOG	Classement du gardien Xu
PARTY_RK_CATEGORY_CZ_DRAGON	Classement du gardien Chen
PARTY_RK_CATEGORY_CZ_HORSE	Classement du gardien Wu
PARTY_RK_CATEGORY_CZ_MONKEY	Classement du gardien Shen
PARTY_RK_CATEGORY_CZ_MOUSE	Classement du gardien Zi
PARTY_RK_CATEGORY_CZ_PIG	Classement du gardien Hai
PARTY_RK_CATEGORY_CZ_RABBIT	Classement de la gardienne Mao
PARTY_RK_CATEGORY_CZ_SHEEP	Classement du gardien Wei
PARTY_RK_CATEGORY_CZ_SNAKE	Classement de la gardienne Si
PARTY_RK_CATEGORY_CZ_TIGER	Classement du gardien Yin
PARTY_SET_ATTACKER	Désigner comme Attaquant.
PARTY_SET_BERSERKER	Désigner comme Berserker.
PARTY_SET_BUFFER	Désigner comme Bloqueur.
PARTY_SET_DEFENDER	Désigner comme Défenseur.
PARTY_SET_NORMAL	Rétablir les paramètres.
PARTY_SET_SKILL_MASTER	Désigner comme Maître de compétence
PARTY_SET_TANKER	Désigner comme combattant au corps-à-corps.
PARTY_SKILL_ATTACKER	Valeur d'attaque de base de l'Attaquant +%.0f
PARTY_SKILL_BERSERKER	Vitesse d'attaque du Berserker +%.0f
PARTY_SKILL_BUFFER	Durée compétence Bloqueur +%.0f
PARTY_SKILL_DEFENDER	Défense comme défenseur +%.0f %%
PARTY_SKILL_HP_REGEN	Régénération des PV +%.0f%%
PARTY_SKILL_PARTY_AREA	Rang du Groupe +%d%%
PARTY_SKILL_SKILL_MASTER	Régénération de PV comme maître de la compétence +%.0f %%
PARTY_SKILL_SP_REGEN	Régénération des PM +%.0f%%
PARTY_SKILL_TANKER	PV max. combattant au corps-à-corps +%.0f
PARTY_SKILL_WARP	Possibilité d'appeler des membres du Groupe
PASSIVE_ATTR_ADD_FAIL	Échec ! Les bonus n'ont pas été transférés à la relique d'âme.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	La relique d'âme ne peut pas absorber de bonus supplémentaires.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	Il vous faut une relique d'âme adaptée à votre classe.
PASSIVE_ATTR_ADD_SUCCESS	Succès ! Les bonus ont été transférés à la relique d'âme.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	La relique d'âme est déjà chargée.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	Aucune relique d'âme ne doit être chargée.
PASSIVE_ATTR_CHARGE_QUESTION	Souhaitez-vous charger la relique d'âme ?
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	Le temps de la relique a été entièrement rechargé.
PASSIVE_ATTR_CONTROL_FAIL_MSG	Vous ne pouvez rien faire pendant l'activation.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	Merci de réessayer plus tard.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	Il vous faut une âme adaptée.
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	Il vous faut une relique d'âme adaptée à votre classe.
PASSIVE_JOB_DESTROY_POPUP	Si vous vous séparez de la relique d'âme, elle sera détruite. Êtes-vous sûr de vouloir poursuivre ?
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	Après l'activation, vous ne pourrez plus céder la relique.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	Les objets seront alors perdus. Êtes-vous sûr de vouloir poursuivre ?
PASSIVE_JOB_LEFT_TIME	Temps restant : %s
PASSIVE_JOB_MAX_TIME	Durée maximale de la relique : %s
PASSWORD_TITLE	Mot de passe de l'entrepôt
PET_ATTR_CHANGE_DIALOG_TEXT	Voulez-vous modifier maintenant les caractéristiques de votre familier ?\n L'objet « enchantement du familier » sera utilisé.\n L'opération peut échouer.
PET_ATTR_CHANGE_USE	Cette action ne peut pas être effectuée pendant que les caractéristiques du familier sont modifiées.
PET_ATTR_DETERMINE_TYPE1	Type de familier 1 : maladroit. Il n'est pas très fort.\nAvec le temps, vous pouvez améliorer ses compétences.
PET_ATTR_DETERMINE_TYPE2	Type de familier 2 : curieux. Il n'est pas très fort.\nC'est un fidèle compagnon dont les compétences augmentent au fil du temps.
PET_ATTR_DETERMINE_TYPE3	Type de familier 3 : vaillant. Il est moyennement fort.\nAvec le temps, vous pouvez améliorer ses compétences.
PET_ATTR_DETERMINE_TYPE4	Type de familier 4 : courageux. Il est moyennement fort.\nC'est un fidèle compagnon dont les compétences augmentent au fil du temps.
PET_ATTR_DETERMINE_TYPE5	Type de familier 5 : intrépide. Il est fort.\nAvec le temps, ses compétences augmenteront davantage.
PET_ATTR_DETERMINE_TYPE6	Type de familier 6 : légendaire. Il est fort.\nC'est un fidèle compagnon dont les compétences augmentent encore au fil du temps.
PET_ATTR_DETERMINE_TYPE7	Type de familier 7 : mythique. Il est très fort.\nIl déploiera tout son potentiel au fil du temps.
PET_ATTR_DETERMINE_TYPE8	Type de familier 8 : prismatique. Il est extrêmement fort.\nC'est un fidèle compagnon en qui avoir confiance.
PET_BAG_DESC	%s
PET_CANNOT_FEED_CUBEOPEN	Vous ne pouvez pas nourrir votre familier quand la fenêtre de raffinage est ouverte.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Vous ne pouvez pas modifier les caractéristiques d'un familier mort.
PET_CAN_NOT_EGG_ITEM_USE	Vous ne pouvez pas ouvrir la couveuse pendant un échange ou pendant l'ouverture de votre entrepôt ou de votre magasin privé.
PET_CAN_NOT_FEED_SPLIT_ITEM	Vous ne pouvez pas déposer d'objet divisé dans cette fenêtre.
PET_CAN_NOT_FEED_TYPE	Vous ne pouvez pas nourrir votre familier de cette façon. Veuillez tenter une autre action.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Pour entraîner le familier et lui faire atteindre le niveau supérieur, il doit avoir le niveau %d.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Pour entraîner le familier et lui faire atteindre le niveau supérieur, il doit avoir 100 % d'expérience.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Votre familier a déjà atteint le niveau maximum.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Vous ne pouvez pas ouvrir de magasin privé quand vous avez appelé votre familier.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Pour entraîner le familier et lui faire atteindre le niveau supérieur, il doit être âgé de %d jours.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Vous ne pouvez pas appeler votre familier, car sa durée d'utilisation a  expiré.
PET_CAN_NOT_USE_BAG	Vous ne pouvez pas utiliser le sac de transport, car votre familier a déjà expiré.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Le familier ne possède pas de compétences à réinitialiser.
PET_HATCHING_ACCEPT	Souhaitez-vous appeler votre familier « %s » ?
PET_HATCHING_MONEY	Prix : %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Quand votre couveuse est ouverte, vous ne pouvez pas effectuez d'interactions.
PET_INFORMATION_STAGE1	Jeune
PET_INFORMATION_STAGE2	Sauvage
PET_INFORMATION_STAGE3	Vaillant
PET_INFORMATION_STAGE4	Héroïque
PET_INFO_EXP	Expérience actuelle :
PET_INFO_ITEM_EXP	EXP de l'objet
PET_INFO_NEXT_EXP	Expérience restante :
PET_INFO_NEXT_ITEM_EXP	EXP d'objet restant
PET_MSG_NOT_ENOUGH_MONEY	Vous n'avez pas assez de Yangs.
PET_NAME_CHANGE_ACCEPT	Voulez-vous modifier le nom de votre familier en « %s » ?
PET_NAME_MIN	Le nom entré est trop court.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	Il n'a pas de familier à ressusciter.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	Vous n'avez pas assez de matériel.
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG	Les compétences sont maintenant disponibles.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	La réinitialisation des compétences de votre familier est irrévocable.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Voulez-vous continuer ?
PET_SKILL_LEARN_FAIL_CONDITIONS	Votre familier n'est pas assez vieux ou il n'a pas le niveau nécessaire. Seuls les familiers héroïques peuvent réapprendre des compétences.
PET_SKILL_LEARN_QUESTION_DLG_MSG	Souhaitez-vous débuter l'entraînement héroïque de « %s » ?
PET_SKILL_TOOLTIP_COOLTIME	Temps de rechargement : %d secondes
PET_SKILL_TOOLTIP_DURATION	Durée : %d secondes
PET_SKILL_TOOLTIP_FEATHER	Ce familier a %d %% de chances d'activer l'effet Foulée de plume pendant %.1f secondes.\n Attaque : %d à %d	SAAAA
PET_SKILL_TOOLTIP_HEAL	Quand vos PV tombent sous les 20%%, vous obtenez une \n chance de %d%% d'augmenter les PV de %d.	SAA
PET_SKILL_TOOLTIP_INVINVIBILITY	Votre personnage a %d%% de chances de devenir invincible\n quand vos PV passent sous les 10%%.\n Durée de l'effet : %.1f secondes.	SAA
PET_SKILL_TOOLTIP_REMOVAL	Neutralise immédiatement les effets des poisons, ralentissements \n ou saignements avec une chance de %d%% \n quand votre personnage est affecté.	SAN
PET_SKILL_UPGRADE_QUESTION_DLG_MSG1	Passer au niveau supérieur de l'entraînement ?
PET_SKILL_UPGRADE_QUESTION_DLG_MSG2	Coût : %s
PET_TOOLTIP_COSTUME_BONUS	
PET_TOOLTIP_DEF	Défense
PET_TOOLTIP_HP	PV
PET_TOOLTIP_LEVEL	Niveau
PET_TOOLTIP_LIFETIME_OVER	Expiré
PET_TOOLTIP_SKILL_BONUS_VALUE	à l'entraînement héroïque
PET_TOOLTIP_SKILL_CUR_LEVEL	Niveau : %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Niveau suivant : %d (max. %d)
PET_TOOLTIP_SP	PM
PET_TOOLTIP_TRADABLE	Échangeable
PET_TOOLTUP_SKILL	%s (niveau %d)
PICK_ITEM_TITLE	Numéro de l'objet
PICK_MONEY_TITLE	Somme
PREMIUM_PRIVATE_ITEM_ADD_LIMIT_WON	Les objets que vous proposez à la vente ne doivent pas dépasser le montant total autorisé.
PREMIUM_PRIVATE_ITEM_ADD_LIMIT_YANG	Les objets que vous proposez à la vente ne doivent pas dépasser le montant total autorisé.
PREMIUM_PRIVATE_MODIFY_LIMIT_WON	Il s'agit de 999 Wons. Commencez par récupérer votre argent.
PREMIUM_PRIVATE_MODIFY_LIMIT_YANG	Il s'agit de plus de 2 milliards de Yangs. Commencez par récupérer votre argent.
PREMIUM_PRIVATE_SHOP_CANNOT_OPEN_MAP	Vous ne pouvez pas l'ouvrir sur cette carte.
PREMIUM_PRIVATE_SHOP_CLOSE_QUESTIONG	Souhaitez-vous fermer votre magasin privé ?
PREMIUM_PRIVATE_SHOP_DURATION	Durée : %s
PREMIUM_PRIVATE_SHOP_MODIFY_STATE_OPEN_FAIL	Le magasin n'est pas ouvert actuellement, car il est en cours de gestion.
PREMIUM_PRIVATE_SHOP_NO_BUFF	Ce bouton est pour le magasin premium privé. Vous devez l'acquérir en boutique pour pouvoir l'utiliser.
PREMIUM_PRIVATE_SHOP_PASSWORD_TITLE	Mot de passe
PREMIUM_PRIVATE_SHOP_POSITION	%s (%d,%d) - CH-%d
PREMIUM_PRIVATE_SHOP_USE_ITEM	Voulez-vous utiliser l'objet « Magasin premium privé » ?
PREMIUM_PRIVATE_TAX_ADJUSTMENT_LIMIT_WON	Vous ne pouvez pas récupérer l'argent, car vous auriez plus de 999 Wons.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_LIMIT_YANG	Vous ne pouvez pas récupérer l'argent, car vous auriez plus de 2 milliards de Yangs.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_NONE	Il n'y a pas d'argent à récupérer.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_OVERFLOW_WON	Vous avez déposé plus de Wons que vous ne pouvez en retirer.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_OVERFLOW_YANG	Vous avez déposé plus de Yangs que vous ne pouvez en retirer.
PREMIUM_PRIVATE_TAX_ADJUSTMENT_WRONG_INPUT	Vous ne pouvez pas récupérer l'argent, car vous avez indiqué un montant trop élevé.
PRIVATESHOPSEARCH_ABLITY_POTION	Rosée
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Tissu fin
PRIVATESHOPSEARCH_ARMOR	Armures
PRIVATESHOPSEARCH_ARROW	Flèches
PRIVATESHOPSEARCH_BELL	Gongs
PRIVATESHOPSEARCH_BELT	Ceintures
PRIVATESHOPSEARCH_BLEND	Potions
PRIVATESHOPSEARCH_BLOOD_PEARL	Perle de sang
PRIVATESHOPSEARCH_BLUE_PEARL	Perle bleue
PRIVATESHOPSEARCH_BODY	Armures
PRIVATESHOPSEARCH_BOW	Arcs
PRIVATESHOPSEARCH_BUYTIME	Souhaitez-vous acheter l'objet sélectionné ?
PRIVATESHOPSEARCH_CLAW	Griffes
PRIVATESHOPSEARCH_CLEAR_POTION	Élixirs
PRIVATESHOPSEARCH_COSTUME	Costumes
PRIVATESHOPSEARCH_COSTUMEBODY	Costume
PRIVATESHOPSEARCH_COSTUMEHAIR	Coiffure
PRIVATESHOPSEARCH_COSTUME_ACCE	Étole
PRIVATESHOPSEARCH_COSTUME_MOUNT	Monture
PRIVATESHOPSEARCH_CRYSTAL	Cristal
PRIVATESHOPSEARCH_DAGGER	Dagues
PRIVATESHOPSEARCH_DEAD	mort
PRIVATESHOPSEARCH_DETACHMENT	Livre des pierres
PRIVATESHOPSEARCH_DIAMOND	Diamant
PRIVATESHOPSEARCH_DS	Alchimie des pierres-dragons
PRIVATESHOPSEARCH_DS_BLACK	Onyx
PRIVATESHOPSEARCH_DS_BLUE	Saphir
PRIVATESHOPSEARCH_DS_GREEN	Jade
PRIVATESHOPSEARCH_DS_RED	Rubis
PRIVATESHOPSEARCH_DS_WHITE	Diamant
PRIVATESHOPSEARCH_DS_YELLOW	Grenat
PRIVATESHOPSEARCH_EAR	Boucles d'oreilles
PRIVATESHOPSEARCH_FAN	Éventails
PRIVATESHOPSEARCH_FISH	Poissons
PRIVATESHOPSEARCH_FOOTS	Chaussures
PRIVATESHOPSEARCH_GEM	Gemmes
PRIVATESHOPSEARCH_GIFTBOX	Coffrets cadeaux
PRIVATESHOPSEARCH_HEAD	Casques
PRIVATESHOPSEARCH_LIVE	vivant
PRIVATESHOPSEARCH_MATERIAL	Matériaux
PRIVATESHOPSEARCH_METIN	Pierres d'Esprit
PRIVATESHOPSEARCH_NECK	Colliers
PRIVATESHOPSEARCH_NEED_ITEM_BUY	Vous ne pouvez pas acheter d'objets si vous ne possédez pas le bon paquet.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	Vous ne pouvez pas chercher d'objets si vous ne possédez pas le bon paquet.
PRIVATESHOPSEARCH_NODELAY_POTION	Objets PV
