ACCE_ABSORB_COST	Kombinálás ára: %d
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	A játék nem támogatja ezt a képernyõt.
GUILDMARK_UPLOADER_ERROR_PATH	Helyezd át a fájlokat a metin2/upload könyvtárba.
GUILDMARK_UPLOADER_ERROR_SELECT	Nincsenek kép fájlok kiválasztva.
GUILDWAR_ALL	Csaták (Cs)
GUILDWAR_CTF_TITLE	Kapd el a zászlót
GUILDWAR_DRAW	Döntetlenek (D)
GUILDWAR_GAINSCORE_FIFTY	50 pont
GUILDWAR_GAINSCORE_HUNDRED	100 pont
GUILDWAR_GAINSCORE_THIRTY	30 pont
GUILDWAR_GAMETIME_SIXTY	60 perc
GUILDWAR_GAMETIME_TEN	10 perc
GUILDWAR_GAMETIME_THIRTY	30 perc
GUILDWAR_INPUT_OTHERGUILD	Add meg az ellenfél céhet!
GUILDWAR_LADDER	Rangpontok
GUILDWAR_LIMIT_MEMBER_FIVE	Minimum 5 résztvevõ.
GUILDWAR_LOSE	Vereségek (V)
GUILDWAR_NORMAL_TITLE	Mezei harc
GUILDWAR_OVER_MEMBERCOUNT	Elérted a tagi létszámkorlátot.
GUILDWAR_QUESTION_LINE_1	A %s céh hadat üzent a céhednek.
GUILDWAR_QUESTION_LINE_2	elfogadod? (%s)
GUILDWAR_RANKING	Helyezés
GUILDWAR_RECODE_ALL	%d Cs, %d Gy, %d V, %d D
GUILDWAR_SELECT_MEMBER_COUNT	Válaszd ki a résztvevõk számát!
GUILDWAR_TYPE_DEFENSE	Pajzs-harc
GUILDWAR_TYPE_TIGER	Megsemmisítés
GUILDWAR_TYPE_TIME	Támadás idõre
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Aréna harc
GUILDWAR_WIN	Gyõzelmek (Gy)
GUILDWAR_WIN_FIVE	5 menet
GUILDWAR_WIN_ONE	1 menet
GUILDWAR_WIN_THREE	3 menet
GUILDWINDOW_BUTTON_BANKGOLDINFO	Céhraktár log
GUILDWINDOW_BUTTON_BASEABANDON	Céhterület elhagyása
GUILDWINDOW_BUTTON_BASEDEAL	Céhterület eladása
GUILDWINDOW_BUTTON_BOARD	Céh-üzenetek
GUILDWINDOW_BUTTON_CHANGEMASTER	Céhvezér-váltás
GUILDWINDOW_BUTTON_DECLARE	Hadat üzenni
GUILDWINDOW_BUTTON_DONATE	Adományozás
GUILDWINDOW_BUTTON_GOLDIN	Betét
GUILDWINDOW_BUTTON_GOLDOUT	Kivét
GUILDWINDOW_BUTTON_GRADE	Jogosultságok kezelése
GUILDWINDOW_BUTTON_GUILDLIST	Céhlista
GUILDWINDOW_BUTTON_HEALGSP	Sárkányisten-erõ helyreállítása
GUILDWINDOW_BUTTON_INFO	Céh-információ
GUILDWINDOW_BUTTON_LANDINFO	Terület-információ
GUILDWINDOW_BUTTON_MARK	Céhjel feltöltése
GUILDWINDOW_BUTTON_MEMBER	Tag
GUILDWINDOW_BUTTON_OFFER	EXP adományozása
GUILDWINDOW_BUTTON_OUTMEMBER	Tag eltávolítása
GUILDWINDOW_BUTTON_SKILL	Céh-készségek
GUILDWINDOW_BUTTON_SYMBOL	Céhzászló feltöltése
GUILDWINDOW_BUY_GUILD_LAND	Földterület vásárlása
GUILDWINDOW_CHANGE_BLACKSMITH	Szaktudás megváltoztatása
GUILDWINDOW_CHANGE_OBJECT	Újjáépítés
GUILDWINDOW_CHANGE_SMELTER	Kohó változtatás
GUILDWINDOW_CREATE_OBJECT	Építés
GUILDWINDOW_DEAL_GUILD_LAND	Földterület eladása
GUILDWINDOW_GRADE_BANK	Használhatja a céhbankot és -raktárt
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Eltávolíthat tagot a céhbõl
GUILDWINDOW_GRADE_GRADENAME	Rangnév
GUILDWINDOW_GRADE_GRADENUMBER	Rangszám
GUILDWINDOW_GRADE_GUILDWAR	Kiválaszthat tagokat bajtársaknak
GUILDWINDOW_GRADE_INVITEAUTHORITY	Felvehet játékost a céhbe
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Írhat céhüzenetet
GUILDWINDOW_GRADE_SKILLAUTHORITY	Használhatja a céh-készségeket
GUILDWINDOW_INFO_LEVEL5	+5% EXP a céhadományokhoz
GUILDWINDOW_INFO_LEVEL10	Megnövelt max. tagszám
GUILDWINDOW_INFO_LEVEL15	Ár csökk.: Sárkányisten-erõ
GUILDWINDOW_INFO_LEVEL20	Bank: Adómentesség
GUILDWINDOW_LAND_TAX	Bérleti díj
GUILDWINDOW_LIST_ALL	Minden birodalom
GUILDWINDOW_LIST_ALREADY_REGISTER	[Céh] Már jelentkeztél.
GUILDWINDOW_LIST_APPLICANT_LIST	Jelentkezõk listája
GUILDWINDOW_LIST_CHRACTER_JOB	Osztály
GUILDWINDOW_LIST_CHRACTER_LV	Szint
GUILDWINDOW_LIST_CHRACTER_NAME	Karakternév
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Alosztály
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Tag
GUILDWINDOW_LIST_GUILD_LIST	Céhlista
GUILDWINDOW_LIST_GUILD_LV	Szint
GUILDWINDOW_LIST_GUILD_NAME	Céh
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Céh] Adj meg egy céhnevet!
GUILDWINDOW_LIST_LADDER	Rangpontok
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Céh] Ez a céh nem hirdet.
GUILDWINDOW_LIST_PROMOTE_GUILD	Jelentkezés
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Céhlista
GUILDWINDOW_LIST_RANKING	Pozíció
GUILDWINDOW_LIST_RANKING_COUNT	Pozíció
GUILDWINDOW_LIST_REGISTER	Jelentkezések
GUILDWINDOW_LIST_REGISTER_GUILD	Jelentkezés céhbe
GUILDWINDOW_LIST_SEARCH	Keresés
GUILDWINDOW_LIST_SELECT_GUILD	[Céh] Válassz céhet, ahova jelentkezel!
GUILDWINDOW_PROMOTE_REFRESH	Hirdetés
GUILDWINDOW_PROMOTE_REGISTER	Hirdetés
GUILDWINDOW_SP_RECOVER	Sárkányisten-erõ
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Oltár fejlesztése
GUILDWINDOW_UPGRADE_GUILDBANK	Bank fejlesztése
GUILD_ATTENDANCE_FAIL_ALREADY	Ma már rögzítetted részvételed.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Jelenleg nem tudod rögzíteni részvételed. A részvétel minden nap 5:00 órakor indul újra.
GUILD_BANKINFO_CLOSE	Bezár
GUILD_BANKINFO_NAME	Tag
GUILD_BANKINFO_TYPE	Tárgy/Fizetõeszköz
GUILD_BANKINFO_USETYPE	Akció
GUILD_BANK_CLOSE	Bezár
GUILD_BANK_INFO	Céhraktár log
GUILD_BOARD_ID	Tag
GUILD_BOARD_TEXT	Üzenet
GUILD_BUILDING_FIX_CHANGE	Biztosan meg akarod változtatni a pozíciót?
GUILD_BUILDING_FIX_CHANGE_GOLD	Ára: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Biztosan törölni akarod a tárgyat?
GUILD_BUILDING_FIX_NEED_BUILDING	Nincs jelen épület.
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_LOG_PLUS	Törzs+
GUILD_BUILDING_NAME	Épület név
GUILD_BUILDING_PLY_PLUS	Furnérlemez+
GUILD_BUILDING_SMELT_STONE	Rúnakõ
GUILD_BUILDING_STONE_PLUS	Alapkõ+
GUILD_CANNOT_HEAL_GSP_ANYMORE	A Sárkányszellem-energia már teljesen fel lett töltve.
GUILD_CHANGEMASTER_TEXT1	Õ lesz az új vezetõ: %s
GUILD_CHANGEMASTER_TEXT2	Szeretnél kinevezni egy új céh vezetõt?
GUILD_CHANGEMASTER_TEXT3	Biztos vagy benne, hogy szeretnéd
GUILD_CHANGEMASTER_TEXT4	átadni a céh vezetõ pozíciót?
GUILD_COMMENT	Írni
GUILD_CREATE_ERROR_INSULT_NAME	Nem érvényes céh név.
GUILD_DEFAULT_GRADE	Céh tagok
GUILD_DELETE	Töröl
GUILD_DEPOSIT	Letétbe helyez
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Nincs nálad elég Nagy adományjegy.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Megtelt a leltárad. Nem adományozhatsz.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Az adományozáshoz legalább 30-as szintûnek kell lenned.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Nincs nálad elég Közepes adományjegy.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Nincs elegendõ Yang.
GUILD_DONATE_FAIL_TIME	A céhbe belépés után 24 óráig még nem adományozhatsz.
GUILD_DONATE_QUESTION_HIGH	Szeretnél egy nagy adományt tenni?
GUILD_DONATE_QUESTION_MIDDLE	Szeretnél egy közepes adományt tenni?
GUILD_DONATE_QUESTION_NORMAL	Szeretnél egy kicsi adományt tenni?
GUILD_DO_YOU_HEAL_GSP	Szeretnél %d Yangot felhasználni %d egység Sárkányszellem visszaállítására?
GUILD_DO_YOU_JOIN	 meghívott. Csatlakozni akarsz a céhhez?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_PARTY_ALL	Összesített rangsor
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	11. hely és alatta: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Súgó
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1. hely: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4-10. hely: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2-3. hely: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Tagok
GUILD_DRAGONLAIR_PARTY_NOW	Heti rangsor
GUILD_DRAGONLAIR_PARTY_PAST	Elõzõ rangsor
GUILD_DRAGONLAIR_PARTY_TIME	Idõ
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Jutalom
GUILD_DRAGONLAIR_RANKING_FAIL	SIKERTELEN
GUILD_DRAGONLAIR_RANKING_NONE	ÚJ
GUILD_DRAGONLAIR_RANKING_SUCCESS	SIKERES
GUILD_DRAGONLAIR_SECOND	mp.
GUILD_EMPTY_AREA	Üres táj.
GUILD_ENEMY_GUILD_NAME	Az ellenség céh neve
GUILD_FACILITY	Melléképület
GUILD_GEM	Drágakõ
GUILD_HEADQUARTER	Fõépület
GUILD_HEAL_GSP	Sárkányszellem visszaállítás
GUILD_INFO_ENEMY_GUILD_EMPTY	Nincs
GUILD_MARK_NOT_ENOUGH_LEVEL	Legalább 3-as szint szükséges
GUILD_MARK_UPLOAD_NOTICE	Várj egy kicsit, hogy hozzáadhass céhlogókat.
GUILD_MEMBEROUT_AUTH	Nem rúghatsz ki tagokat.
GUILD_MEMBEROUT_NOMAL	Szeretnéd kirúgni ezt a tagot?
GUILD_MEMBER_JOB	Osztály
GUILD_MEMBER_KNIGHT	Bajtárs
GUILD_MEMBER_LEVEL	Szint
GUILD_MEMBER_NAME	Tag
GUILD_MEMBER_RANK	Helyezés
GUILD_MEMBER_SPECIFIC_GRAVITY	Beadott EXP
GUILD_NAME	Céh név
GUILD_NOT_ENOUGH_MATERIAL	Nincs elég építõanyag ehhez az épülethez.
GUILD_NOT_ENOUGH_MONEY	Nincs elég Yang ehhez az épülethez.
GUILD_NO_NOTICE_PERMISSION	Nincs jogosultságod bejelentést tenni.
GUILD_OBJECT	Tárgy
GUILD_OBJECT_POSSIBLE_NEWWORLD	Ez az épület csak a Yohara kontinensen elérhetõ.
GUILD_OFFER_EXP	Tapasztalat befektetés
GUILD_SELECT_ONE	Válassz egy céhtagot!
GUILD_SHORT_EXP	Nincs elég tapasztalat pont.
GUILD_SITE_AUCTION_END_TIME	Területaukció: %02d/%02d (hónap/nap) %02d:%02d
GUILD_SITE_AUCTION_END_TIME_DEFAULT	Területaukció: N/A
GUILD_SITE_AUCTION_INFO	Kikiáltott terület: %s / (%d,%d)
GUILD_SITE_AUCTION_INFO_DEFAULT	Kikiáltott terület: N/A
GUILD_SITE_AUCTION_MAP_INFO	Dátum (hónap/nap): %02d/%02d; Idõ: %02d:%02d
GUILD_SITE_AUCTION_STATE_NONE	Minden ajánlat beküldésre került.
GUILD_SITE_AUCTION_STATE_REGIST	A %s területen egy föld (%s,%s) elérhetõ aukción. Csak a céh vezetõk regisztrálhatnak a területaukcióra.
GUILD_SITE_AUCTION_STATE_RUN	A területaukció véget ér ekkor: %02d/%02d (hónap/nap) %02d:%02d.
GUILD_SITE_AUCTION_STATE_WAIT	Területaukció kezdõdik ekkor: %02d/%02d (hónap/nap) %02d:%02d a %s (%d,%d) területért.
GUILD_SITE_AUTO_ABNDON_TIME	Terület automatikus elhagyása: %s
GUILD_SITE_TAX_INFO	A céhterület elhagyásra kerül ekkor: %s. A céhraktárban minden tárgy törlésre kerül.
GUILD_TILE_BASEINFO	Terület-információ
GUILD_TILE_BOARD	Céh-üzenetek
GUILD_TILE_GRADE	Jogok Kezelése
GUILD_TILE_INFO	Céh információ
GUILD_TILE_MEMBER	Tag
GUILD_TILE_SKILL	Céh készség
GUILD_USE_MASTER_ONLY	Ezt csak a céhvezér használhatja.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Céhháború terület
GUILD_WAR2	Céhháború terület
GUILD_WAR3	Céhháború terület
GUILD_WAR4	Céhháború terület
GUILD_WAR_GAINSCORE_FIFTY	50 pont
GUILD_WAR_GAINSCORE_HUNDRED	100 pont
GUILD_WAR_GAINSCORE_THIRTY	30 pont
GUILD_WAR_GAMETIME_SIXTY	60 perc
GUILD_WAR_GAMETIME_TEN	10 perc
GUILD_WAR_GAMETIME_THIRTY	30 perc
GUILD_WAR_LIMIT_30MIN	Idõ: 30 perc
GUILD_WAR_REWARD_POTION	Jutalom: a gyõztes italokat kap
GUILD_WAR_SELECT_WAR	Válassz típust
GUILD_WAR_TYPE_DEFENSE	Pajzs-harc
GUILD_WAR_TYPE_DIE	Aréna-harc
GUILD_WAR_TYPE_FLAG	Kapd el a zászlót
GUILD_WAR_TYPE_NORMAL	Mezei harc
GUILD_WAR_TYPE_TIGER	Megsemmisítés
GUILD_WAR_TYPE_TIME	Támadás idõre
GUILD_WAR_USE_BATTLE_MAP	Helyszín: Céhháború Aréna
GUILD_WAR_USE_NORMAL_MAP	Helyszín: Normál Térkép
GUILD_WAR_WIN_CHECK_SCORE	Legmagasabb eredmény háborút nyer.
GUILD_WAR_WIN_FIVE	5 menet
GUILD_WAR_WIN_ONE	1 menet
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Szerezd meg az ellenség zászlaját,
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	és vidd el a bázisodra.
GUILD_WAR_WIN_THREE	3 menet
GUILD_WAR_WIN_WIPE_OUT_GUILD	Gyõzz le minden ellenséget a gyõzelemért.
GUILD_WITHDRAW	Visszavonás
GUILD_YOU_DO_NOT_JOIN	Nem tartozol céhhez.
HACK_USER_MESSAGE	Ez a funkció nem elérhetõ, mert csaló programot észleltünk.
HORSE_HEALTH0	Halott
HORSE_HEALTH1	Éhezõ
HORSE_HEALTH2	Éhes
HORSE_HEALTH3	Tele
HORSE_LEVEL1	Normál ló
HORSE_LEVEL2	Csataló
HORSE_LEVEL3	Katonai ló
HORSE_LEVEL4	Hatalmas hadiló
HOUR	ó
HOW_MANY_ITEM_DO_YOU_DROP1	Szeretnéd ezt: %s eldobni?
HOW_MANY_ITEM_DO_YOU_DROP2	Szeretnél %s %d eldobni?
ICECREAM_EVENT_EXCHANGE_SCOOP_SUCCESS	Átvittél %d Fagylaltgombócot az új rendezvény menübe.
ICECREAM_EVENT_GET_SCOOP	Kaptál egy Fagylaltgombócot.
ICECREAM_EVENT_SCOOP_MAX_COUNT	Nem kaphatsz több Fagylaltgombócot.
INPUT_MATRIX_CARD_NUMBER	Mátrix térképszám beadás
INPUT_MATRIX_CARD_TITLE	Mátrix térkép
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Törlõ kód beadása a felhasználó kezelõbõl
INPUT_PRIVATE_CODE_DIALOG_TITLE	Karakter törlés
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Nem kombinálható tekercs.
INVENTORY_REALLY_USE_ITEM	Tárgy használata ezen a tárgyon?
INVENTORY_REALLY_USE_ITEM2	Valóban használni akarod ezt a tárgyat?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Tényleg be akarod helyezni házikedvenced a Szállító dobozba?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Ki akarod nyitni a Szállító dobozt?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Meg akarod etetni ezt: %s ezzel: %s?
IS_NOT_PET_CHANGE_ITEM	Ez nem egy Kedvenc megbûvölõ tárgy.
IS_NOT_PET_ITEM	Ez nem egy házikedvenc.
JOB_ASSASSIN	Nindzsa
JOB_ASSASSIN0	Nincs
JOB_ASSASSIN1	Tõr-nindzsa
JOB_ASSASSIN2	Íjász-nindzsa
JOB_SHAMAN	Sámán
JOB_SHAMAN0	Nincs
JOB_SHAMAN1	Sárkány sámán
JOB_SHAMAN2	Gyógyító sámán
JOB_SURA	Sura
JOB_SURA0	Nincs
JOB_SURA1	Fegyveres sura
JOB_SURA2	Mágikus sura
JOB_WARRIOR	Harcos
JOB_WARRIOR0	Nincs
JOB_WARRIOR1	Testi harcos
JOB_WARRIOR2	Mentális harcos
JOB_WOLFMAN	Vérfarkas
JOB_WOLFMAN0	Amatõr vérfarkas
JOB_WOLFMAN1	Ösztön
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Kilépés mentés nélkül?
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] itt nincs engedélyezve!
KEYCHANGE_SAVE_EXIT	Mentés és kilépés?
KEY_0	ö
KEY_0_LALT	ALT + ö
KEY_0_LCONTROL	CTRL + ö
KEY_0_LSHIFT	SHIFT + ö
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	SHIFT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	SHIFT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	SHIFT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	SHIFT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	SHIFT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	SHIFT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	SHIFT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	SHIFT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	SHIFT + 9
KEY_A	A
KEY_ADD	ó
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	LE
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	`
KEY_GRAVE_LALT	ALT + 0
KEY_GRAVE_LCONTROL	CTRL + 0
KEY_GRAVE_LSHIFT	SHIFT + 0
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	BAL
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUMLOCK
KEY_NUMPAD0	NUMPAD 0
KEY_NUMPAD1	NUMPAD 1
KEY_NUMPAD2	NUMPAD 2
KEY_NUMPAD3	NUMPAD 3
KEY_NUMPAD4	NUMPAD 4
KEY_NUMPAD5	NUMPAD 5
KEY_NUMPAD6	NUMPAD 6
KEY_NUMPAD7	NUMPAD 7
KEY_NUMPAD8	NUMPAD 8
KEY_NUMPAD9	NUMPAD 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PAGE DOWN
KEY_PGUP	PAGE UP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	JOBB
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	SZÓKÖZ
KEY_SUBTRACT	-
KEY_SYSRQ	PRNTSCR
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	FEL
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Z
KEY_Y_LALT	ALT + Z
KEY_Y_LCONTROL	CTRL + Z
KEY_Y_LSHIFT	SHIFT + Z
KEY_Z	Y
KEY_Z_LALT	ALT + Y
KEY_Z_LCONTROL	CTRL + Y
KEY_Z_LSHIFT	SHIFT + Y
LEADER_NAME	Vezetõ neve
LEFT_TIME	Maradék idõ
LIMIT_LEVEL_GUILD	Céh szint: %d
LOGIN_CONNECT_FAILURE	Hiba a szerver kapcsolatban.
LOGIN_CONNECT_SUCCESS	A szerver kapcsolat létrejött.
LOGIN_CONNETING	Kérjük, várj. Kapcsolódás a szerverhez...
LOGIN_FAILURE_ALREAY	A felhasználói fiókod már csatlakoztatva van.
LOGIN_FAILURE_BACKEND_ERR	Hiba történt. Kérjük, lépj kapcsolatba a Támogatással.
LOGIN_FAILURE_BE_SAME_KEY	Bejelentkezési probléma
LOGIN_FAILURE_BLOCK_ID	Ez a felhasználói fiók zárolva lett.
LOGIN_FAILURE_BLOCK_LOGIN	Lezárt szerver: Kérlek válassz egyet a többi szerver közül!
LOGIN_FAILURE_COUNTRY_ERR	Az országkód helytelen.\nKérjük, lépj kapcsolatba a Támogatással.
LOGIN_FAILURE_INTEGRTING	Ez a felhasználói fiók jelenleg összevonás alatt áll. Kérjük, próbáld újra késõbb.
LOGIN_FAILURE_IOVATION_ERR	Kérjük, aktiváld a kétlépcsõs azonosítást a szerverhez való hozzáféréshez.
LOGIN_FAILURE_NOBILL	Ennek a felhasználói fióknak nincs játékideje.
LOGIN_FAILURE_NOT_AVAIL	Ez a felhasználói fiók nem elérhetõ.
LOGIN_FAILURE_NOT_EXIST_ID	Hibás Felhasználónév vagy Jelszó.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Meg kell erõsítened a fiókod email címét.
LOGIN_FAILURE_REPAIR_ID	Ezen a felhasználói fiókon tárgyak lettek helyreállítva.
LOGIN_FAILURE_SAMELOGIN	Valaki kapcsolódott a felhasználói fiókodhoz.
LOGIN_FAILURE_SERVER_GRADE	Sajnos ennek a fióknak nincs hozzáférése ehhez az exkluzív szerverhez.
LOGIN_FAILURE_SHUTDOWN	A szerver még nem nyílt meg.
LOGIN_FAILURE_STEAM_SESSION	Új regisztráció és áthozott Metin2 fiók elõtt le van zárva.
